Steering Throttle
-4.18907e-08 3
-4.18715e-08 3
-0.000136455 3
-0.00021498 3
-0.000367375 3
-0.000544544 3
-0.000816784 3
-0.00104338 3
-0.00140953 3
-0.00191347 3
-0.00232473 3
-0.00294569 3
-0.00380198 3
-0.00467848 3
-0.00565822 3
-0.00673408 3
-0.00792198 3
-0.00934569 3
-0.0113142 3
-0.0131163 3
-0.0148388 3
-0.0175817 3
-0.0203674 3
-0.0234795 3
-0.0253044 3
-0.0275901 3
-0.0293695 3
-0.029367 3
-0.028773 3
-0.0274796 3
-0.0242537 3
-0.0223615 3
-0.0201984 3
-0.0181633 3
-0.0150484 3
-0.0137816 3
-0.0139839 3
-0.0135351 3
-0.0134881 3
-0.0146762 3
-0.0161018 3
-0.0186204 3
-0.0213154 3
-0.0245899 3
-0.0292709 3
-0.0325495 3
-0.0358417 3
-0.0389284 3
-0.0416654 3
-0.0446009 3
-0.0513624 3
-0.0563725 3
-0.0628084 2.96834
-0.0696763 2.90805
-0.0843056 2.7969
-0.0915553 2.75329
-0.0957112 2.69882
-0.0982845 2.66538
-0.105239 2.61388
-0.108735 2.56311
-0.105185 2.53616
-0.100315 2.51588
-0.0941194 2.48177
-0.0858234 2.46058
-0.0766357 2.43652
-0.0694811 2.40575
-0.0604054 2.37461
-0.0526196 2.34904
-0.045725 2.32068
-0.0379181 2.28437
-0.0277655 2.24738
-0.0214465 2.22052
-0.0160995 2.15385
-0.0128637 2.13267
-0.0110991 2.09311
-0.0102458 2.04379
-0.0100341 2.00469
-0.0111452 1.9716
-0.0123189 1.94074
-0.012826 1.91252
-0.0131074 1.86866
-0.0113688 1.83391
-0.00848646 1.79961
-0.00445783 1.76547
0.00310263 1.69806
0.00565558 1.65059
0.000780911 1.6164
-0.00452236 1.58853
-0.0161052 1.5403
-0.0320185 1.48575
-0.044153 1.46037
-0.0597874 1.4545
-0.0880927 1.36882
-0.126646 1.39379
-0.177707 -1
-0.202208 -1
-0.23205 -0.667856
-0.256187 -0.30575
-0.248045 0.197663
-0.19497 3
-0.142296 3
-0.116336 3
-0.0825337 3
-0.0427588 3
-0.0209573 3
-0.00541167 3
0.00851676 2.97763
0.0217603 2.91959
0.0400623 2.8147
0.0514416 2.74245
0.0597118 2.6898
0.0704629 2.63864
0.101175 2.52154
0.123594 -0.383869
0.138709 -0.393406
0.141123 0.248896
0.213262 0.686362
0.277528 0.997619
0.245998 3
0.176961 3
0.121394 3
0.0960653 3
0.0496295 3
0.00377529 3
-0.0195303 3
-0.0339382 3
-0.0472424 3
-0.0657012 3
-0.0875629 2.91411
-0.0984081 2.82608
-0.0998419 2.77994
-0.101296 2.73309
-0.106517 2.65192
-0.156977 -0.279677
-0.178816 -0.26498
-0.163218 0.330791
-0.152017 0.599248
-0.164983 0.743563
-0.164609 0.59915
-0.148443 3
-0.132676 3
-0.125899 3
-0.109096 3
-0.0893358 3
-0.0674518 3
-0.0541151 3
-0.054402 3
-0.0533313 3
-0.0538565 2.98436
-0.0559671 2.92512
-0.0582189 2.87963
-0.0600196 2.82689
-0.0587869 2.78205
-0.0574036 2.73923
-0.0557527 2.70664
-0.0528659 2.66917
-0.0517057 2.62191
-0.047153 2.57956
-0.0417232 2.5368
-0.037578 2.5032
-0.033642 2.47049
-0.0295379 2.43433
-0.025732 2.39937
-0.0217648 2.36048
-0.0184491 2.31971
-0.0163087 2.28994
-0.0148968 2.25711
-0.0138728 2.21551
-0.0138218 2.18646
-0.0136274 2.14546
-0.0140653 2.10584
-0.0149116 2.07605
-0.0158265 2.03039
-0.0164522 1.9962
-0.0175436 1.93304
-0.0171712 1.89524
-0.0168399 1.85288
-0.016756 1.81837
-0.0158891 1.76861
-0.0147886 1.73791
-0.0142955 1.70593
-0.0145961 1.67778
-0.0147294 1.65602
-0.0148774 1.62468
-0.0153045 1.60444
-0.0160571 1.5811
-0.017239 1.55102
-0.0179821 1.52854
-0.0189509 1.50975
-0.0207089 1.48388
-0.0229229 1.45648
-0.0245519 1.43692
-0.0262386 1.41642
-0.0292096 1.3939
-0.032103 1.37684
-0.035572 1.34861
-0.0381239 1.33207
-0.0405335 1.31101
-0.0450425 1.28326
-0.0486547 1.26681
-0.05584 1.23509
-0.0614336 1.21746
-0.0660277 1.20246
-0.0711612 1.18991
-0.0765922 1.18082
-0.0880394 1.1641
-0.0970069 1.15416
-0.0992764 1.15157
-0.107715 1.14313
-0.114644 1.13848
-0.111958 1.13747
-0.100362 1.13422
-0.0849532 1.13836
-0.0716514 1.13612
-0.0594036 1.13564
-0.044589 1.13077
-0.0292685 1.12731
-0.0175308 1.12042
-0.0101062 1.10972
-0.00487116 1.09999
-0.00109996 1.08697
-0.000172114 1.07546
-0.00191971 1.0637
-0.00491817 1.04952
-0.00715409 1.03614
-0.0104322 1.02214
-0.014764 1.0058
-0.0173949 0.993623
-0.0186208 0.981249
-0.0174004 0.957417
-0.01565 0.97257
-0.0127069 0.955282
-0.00922751 0.949797
-0.00608789 0.944395
-0.00345964 0.93964
-0.00141504 0.935308
-0.000813821 0.930965
-0.00319319 0.92345
-0.00855196 0.917733
-0.0189693 0.894304
-0.0314645 0.887803
-0.0490856 0.891243
-0.0841744 0.867846
-0.107104 0.922341
-0.165428 -1
-0.209729 -1
-0.257144 -1
-0.279469 -0.506877
-0.263393 -0.228813
-0.199769 3
-0.132878 3
-0.076807 3
-0.0434451 3
-0.02499 3
-0.00453615 3
0.0119457 2.98919
0.0285995 2.90749
0.0353711 2.85297
0.0410621 2.79486
0.0532867 2.71258
0.0655378 2.65791
0.0984218 2.51568
0.113885 2.4934
0.121911 -0.401412
0.137737 -0.406003
0.195797 0.240255
0.218581 0.629177
0.244258 0.905088
0.234503 0.684936
0.201804 3
0.155484 3
0.0884925 3
0.0188728 3
-0.0173895 3
-0.0316852 3
-0.0473132 3
-0.060751 3
-0.0693003 3
-0.0762503 2.9469
-0.0798949 2.90062
-0.0851219 2.81907
-0.0870058 2.76407
-0.0884595 2.69753
-0.0905435 2.65868
-0.132219 -0.321449
-0.149948 -0.31617
